Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2018-06-05;46.2589;46.4722;46.0874;46.3188;90002712.716688
2018-06-06;46.3974;46.5052;45.9877;46.4812;87363709.670651
2018-06-07;46.5201;46.5351;46.0805;46.3556;89089647.140399
2018-06-08;45.8103;46.0057;45.4723;45.9369;111248648.30076
2018-06-11;45.8511;45.9977;45.578;45.8212;76407947.8725
2018-06-12;45.8611;46.1463;45.8053;46.0675;70576422.56251
2018-06-13;46.1004;46.214;45.6328;45.6976;90304991.929192
2018-06-14;45.901;45.9069;45.581;45.7216;90186799.51332
2018-06-15;45.5341;45.565;45.1104;45.2499;257576800.21559
2018-06-18;45.0157;45.3367;44.8582;45.2271;77144158.6442
2018-06-19;44.3627;44.6458;43.9579;44.4933;140135266.73168
2018-06-20;44.6508;44.8582;44.5033;44.6857;86091168.952553
2018-06-21;44.8712;45.1313;44.3158;44.4415;107305232.61607
2018-06-22;44.5979;44.6059;44.256;44.3108;113517484.69276
2018-06-25;43.946;44.3108;43.303;43.6499;132141766.99035
2018-06-26;43.8493;44.6937;43.7415;44.1912;102536326.66624
2018-06-27;44.3856;44.8782;44.0945;44.1244;105524996.02604
2018-06-28;44.1104;44.6179;44.0396;44.4505;72471518.432554
2018-06-29;44.6369;44.8552;43.8293;44.3557;94892653.726703
2018-07-02;44.0446;44.8831;43.9509;44.8532;73999427.710745
2018-07-03;44.9988;45.0326;43.9778;44.0676;58238545.837829
2018-07-05;44.3916;44.6658;44.1534;44.4275;69295654.826557
2018-07-06;44.4315;45.1543;44.3787;45.0386;72972376.511183
2018-07-09;45.4045;45.6926;45.3567;45.6677;82451714.59558
2018-07-10;45.7006;45.8342;45.571;45.6108;66519938.042446
2018-07-11;45.1673;45.4743;44.9539;45.0157;78590669.394471
2018-07-12;45.4125;45.8671;45.3587;45.7794;75292286.213978
2018-07-13;45.7913;45.9687;45.7465;45.8471;52249703.135319
2018-07-16;45.894;46.1562;45.6278;45.7494;62780446.478476
2018-07-17;45.4663;45.9767;45.3317;45.8771;64831292.976607
2018-07-18;45.9539;45.9589;45.5092;45.6228;68415620.696867
2018-07-19;45.4524;46.1323;45.4524;45.9787;84664091.297129
2018-07-20;45.9539;46.1034;45.568;45.8741;86413942.48703
2018-07-23;45.6926;45.9957;45.4195;45.9169;66729510.338917
2018-07-24;46.1063;46.4044;46.0177;46.244;78033224.238018
2018-07-25;46.2589;46.6876;46.1034;46.6797;70223118.185618
2018-07-26;46.6317;46.9568;46.3934;46.538;79611029.246056
2018-07-27;46.7205;46.7703;45.551;45.7664;100260887.19468
2018-07-30;45.9827;46.0485;45.3019;45.5042;87763998.925669
2018-07-31;45.598;46.0365;45.3656;45.595;164318201.54988
2018-08-01;47.7164;48.3435;47.2748;48.2857;283520777.25493
2018-08-02;48.0624;49.9317;48.0096;49.6945;260434938.63884
2018-08-03;49.6057;50.0174;49.2358;49.838;139588311.47436
2018-08-06;49.841;50.139;49.6157;50.0982;106109505.48337
2018-08-07;50.157;50.1969;49.5429;49.6247;106785590.41609
2018-08-08;49.3724;49.7961;49.0055;49.6585;94007158.991647
2018-08-09;49.6665;50.2637;49.6465;50.0514;98043390.924839
2018-08-10;49.8639;50.2766;49.6945;49.9038;102352656.13545
2018-08-13;49.9437;50.7233;49.9437;50.2188;107674559.71709
2018-08-14;50.5309;50.6296;50.0782;50.4371;86286476.87193
2018-08-15;50.3065;50.6734;50.0952;50.5528;119804414.86092
2018-08-16;50.9177;51.4102;50.8498;51.2925;118526842.84296
2018-08-17;51.3225;52.4052;51.2557;52.3154;147333205.22015
2018-08-20;52.441;52.7033;51.7242;51.807;125959962.50291
2018-08-21;52.132;52.2267;51.461;51.7073;108792747.05605
2018-08-22;51.481;52.0253;51.4172;51.7093;79092284.77601
2018-08-23;51.6126;52.1938;51.6006;51.8139;78531234.657088
2018-08-24;52.0851;52.1569;51.7242;51.9775;76839161.165616
2018-08-27;52.2167;52.5995;52.0183;52.4022;85359512.028825
2018-08-28;52.6613;53.0282;52.6425;52.8269;94723633.747336
2018-08-29;52.9336;53.7391;52.7561;53.6135;113346825.72934
2018-08-30;53.6793;54.8895;53.4749;54.1079;202922942.19305
2018-08-31;54.4639;55.0341;54.3373;54.734;180242226.53096
2018-09-04;54.9265;55.1049;54.4938;54.9145;113909619.14953
2018-09-05;55.0641;55.2266;54.1249;54.5516;138624562.77381
2018-09-06;54.3941;54.6662;53.2147;53.6434;142604579.76081
2018-09-07;53.3463;54.1917;53.0702;53.2147;156452638.85725
2018-09-10;53.13;53.3463;52.0533;52.4989;164340357.92606
2018-09-11;52.4191;53.9404;52.0751;53.8288;148672548.07945
2018-09-12;54.088;54.1039;52.8598;53.1598;204939599.72464
2018-09-13;53.746;54.9125;53.5157;54.44;173447785.05209
2018-09-14;54.2835;54.5436;53.5038;53.8258;133078108.34685
2018-09-17;53.4151;53.6065;52.2426;52.3882;154686496.12577
2018-09-18;52.3682;53.3463;52.2118;52.4769;131299912.964
2018-09-19;52.5407;52.8079;51.7691;52.5088;112802145.38992
2018-09-20;52.9565;53.4449;52.6953;52.9036;110660208.89269
2018-09-21;53.088;53.2296;52.2486;52.3354;400269366.53812
2018-09-24;52.137;53.2047;52.0931;53.09;115170671.93353
2018-09-25;52.8369;53.5766;52.8269;53.4251;102116345.52941
2018-09-26;53.1419;53.8028;52.8398;53.0004;99747195.088564
2018-09-27;53.8208;54.4469;53.751;54.091;125517186.04692
2018-09-28;54.0511;54.3033;53.8706;54.2815;95358252.584207
2018-10-01;54.8138;55.1637;54.424;54.6434;98150620.001871
2018-10-02;54.6404;55.3034;54.4938;55.1308;103088625.17204
2018-10-03;55.3162;56.1398;55.2534;55.8038;119169101.9133
2018-10-04;55.4917;55.8716;54.5197;54.8238;133255737.5062
2018-10-05;54.8158;54.9265;53.0382;53.9385;139653865.8211
2018-10-08;53.4301;54.0541;52.9465;53.8088;123365828.9021
2018-10-09;53.776;54.6463;53.4351;54.5516;111833962.20436
